"New housing price index, monthly c 1 2 3 4 5"
"Frequency: Monthly"
"Table: 18-10-0205-01 (formerly CANSIM 327-0056)"
"Release date: 2026-02-19"
"Geography: Canada, Geographical region of Canada, Province or territory, Census metropolitan area, Census agglomeration"
""
""

,"New housing price indexes","Total (house and land)"
"Geography","Reference period"
,,"Index, 201612=100"
,"March 2022","126.5"
,"April 2022","126.8"
,"May 2022","127.2"
,"June 2022","127.5"
,"July 2022","127.5"
,"August 2022","127.6"
,"September 2022","127.4"
,"October 2022","127.4"
,"November 2022","127.3"
,"December 2022","127.3"
,"January 2023","127.2"
,"February 2023","126.8"
,"March 2023","126.7"
,"April 2023","126.4"
,"May 2023","126.3"
,"June 2023","126.3"
,"July 2023","126.2"
,"August 2023","125.8"
,"September 2023","125.7"
,"October 2023","125.6"
,"November 2023","125.2"
,"December 2023","125.1"
,"January 2024","125.0"
,"February 2024","125.0"
,"March 2024","124.8"
,"April 2024","124.8"
,"May 2024","124.7"
,"June 2024","124.5"
,"July 2024","124.5"
,"August 2024","124.5"
,"September 2024","124.5"
,"October 2024","123.6"
,"November 2024","123.8"
,"December 2024","123.6"
,"January 2025","123.3"
,"February 2025","123.4"
,"March 2025","123.2"
,"April 2025","122.7"
,"May 2025","122.1"
,"June 2025","122.0"
,"July 2025","121.8"
,"August 2025","121.6"
,"September 2025","121.0"
,"October 2025","120.3"
,"November 2025","120.2"
,"December 2025","120.0"
"Manitoba","January 2010","79.9"
,"February 2010","81.4"
,"March 2010","81.8"
,"April 2010","82.0"
,"May 2010","82.2"
,"June 2010","82.6"
,"July 2010","82.8"
,"August 2010","83.1"
,"September 2010","83.2"
,"October 2010","83.2"
,"November 2010","83.2"
,"December 2010","84.1"
,"January 2011","84.6"
,"February 2011","85.2"
,"March 2011","85.5"
,"April 2011","85.6"
,"May 2011","85.7"
,"June 2011","86.2"
,"July 2011","86.4"
,"August 2011","86.5"
,"September 2011","87.7"
,"October 2011","87.8"
,"November 2011","88.0"
,"December 2011","88.0"
,"January 2012","88.1"
,"February 2012","88.4"
,"March 2012","89.0"
,"April 2012","89.3"
,"May 2012","89.4"
,"June 2012","90.0"
,"July 2012","90.2"
,"August 2012","90.4"
,"September 2012","90.9"
,"October 2012","91.2"
,"November 2012","91.6"
,"December 2012","92.4"
,"January 2013","93.2"
,"February 2013","93.3"
,"March 2013","93.6"
,"April 2013","94.2"
,"May 2013","94.6"
,"June 2013","94.8"
,"July 2013","94.9"
,"August 2013","95.0"
,"September 2013","95.0"
,"October 2013","95.0"
,"November 2013","95.0"
,"December 2013","95.1"
,"January 2014","95.6"
,"February 2014","95.7"
,"March 2014","95.8"
,"April 2014","96.0"
,"May 2014","96.1"
,"June 2014","96.3"
,"July 2014","96.3"
,"August 2014","96.3"
,"September 2014","95.9"
,"October 2014","96.1"
,"November 2014","96.1"
,"December 2014","96.0"
,"January 2015","96.2"
,"February 2015","96.3"
,"March 2015","96.6"
,"April 2015","96.7"
,"May 2015","96.8"
,"June 2015","97.2"
,"July 2015","97.3"
,"August 2015","97.3"
,"September 2015","97.5"
,"October 2015","97.6"
,"November 2015","97.7"
,"December 2015","97.7"
,"January 2016","97.9"
,"February 2016","97.9"
,"March 2016","98.1"
,"April 2016","98.3"
,"May 2016","98.5"
,"June 2016","98.7"
,"July 2016","98.9"
,"August 2016","99.0"
,"September 2016","99.4"
,"October 2016","99.9"
,"November 2016","100.0"
,"December 2016","100.0"
,"January 2017","100.3"
,"February 2017","100.5"
,"March 2017","100.5"
,"April 2017","101.3"
,"May 2017","101.8"
,"June 2017","102.2"
,"July 2017","102.3"
,"August 2017","102.6"
,"September 2017","102.9"
,"October 2017","103.0"
,"November 2017","103.2"
,"December 2017","103.3"
,"January 2018","103.3"
,"February 2018","103.4"
,"March 2018","103.5"
,"April 2018","103.5"
,"May 2018","103.7"
,"June 2018","103.9"
,"July 2018","104.0"
,"August 2018","104.1"
,"September 2018","104.1"
,"October 2018","104.4"
,"November 2018","104.4"
,"December 2018","104.3"
,"January 2019","104.5"
,"February 2019","104.5"
,"March 2019","104.7"
,"April 2019","104.8"
,"May 2019","104.6"
,"June 2019","104.4"
,"July 2019","104.7"
,"August 2019","104.7"
,"September 2019","104.9"
,"October 2019","105.0"
,"November 2019","104.7"
,"December 2019","105.1"
,"January 2020","105.3"
,"February 2020","105.5"
,"March 2020","105.5"
,"April 2020","105.6"
,"May 2020","105.5"
,"June 2020","105.8"
,"July 2020","106.0"
,"August 2020","106.9"
,"September 2020","108.7"
,"October 2020","108.8"
,"November 2020","109.1"
,"December 2020","109.1"
,"January 2021","110.4"
,"February 2021","112.3"
,"March 2021","113.5"
,"April 2021","116.8"
,"May 2021","122.7"
,"June 2021","125.0"
,"July 2021","125.4"
,"August 2021","126.6"
,"September 2021","126.8"
,"October 2021","128.9"
,"November 2021","129.7"
,"December 2021","133.3"
,"January 2022","135.2"
,"February 2022","136.5"
,"March 2022","141.1"
,"April 2022","142.4"
,"May 2022","143.6"
,"June 2022","143.6"
,"July 2022","143.6"
,"August 2022","143.6"
,"September 2022","143.6"
,"October 2022","142.6"
,"November 2022","142.6"
,"December 2022","142.2"
,"January 2023","140.4"
,"February 2023","140.6"
,"March 2023","140.0"
,"April 2023","141.5"
,"May 2023","141.5"
,"June 2023","141.4"
,"July 2023","141.4"
,"August 2023","141.5"
,"September 2023","141.5"
,"October 2023","141.5"
,"November 2023","140.8"
,"December 2023","140.9"
,"January 2024","141.0"
,"February 2024","139.8"
,"March 2024","139.9"
,"April 2024","139.3"
,"May 2024","139.4"
,"June 2024","139.5"
,"July 2024","139.4"
,"August 2024","139.4"
,"September 2024","139.7"
,"October 2024","140.2"
,"November 2024","140.2"
,"December 2024","140.5"
,"January 2025","141.0"
,"February 2025","141.0"
,"March 2025","142.5"
,"April 2025","142.5"
,"May 2025","144.1"
,"June 2025","144.5"
,"July 2025","144.5"
,"August 2025","145.0"
,"September 2025","145.5"
,"October 2025","144.5"
,"November 2025","145.0"
,"December 2025","145.4"
"Saskatchewan","January 2010","90.2"
,"February 2010","91.4"
,"March 2010","91.6"
,"April 2010","92.4"
,"May 2010","93.9"
,"June 2010","93.8"
,"July 2010","93.8"
,"August 2010","93.8"
,"September 2010","93.8"
,"October 2010","94.1"
,"November 2010","94.2"
,"December 2010","94.2"
,"January 2011","94.2"
,"February 2011","94.9"
,"March 2011","95.0"
,"April 2011","95.1"
,"May 2011","95.7"
,"June 2011","95.7"
,"July 2011","95.7"
,"August 2011","96.2"
,"September 2011","96.3"
,"October 2011","96.2"
,"November 2011","97.0"
,"December 2011","97.0"
,"January 2012","97.4"
,"February 2012","98.2"
,"March 2012","98.2"
,"April 2012","98.7"
,"May 2012","98.9"
,"June 2012","99.0"
,"July 2012","99.0"
,"August 2012","99.0"
,"September 2012","99.0"
,"October 2012","99.0"
,"November 2012","99.0"
,"December 2012","99.1"
,"January 2013","99.1"
,"February 2013","99.5"
,"March 2013","100.1"
,"April 2013","100.4"
,"May 2013","100.4"
,"June 2013","100.8"
,"July 2013","100.6"
,"August 2013","100.9"
,"September 2013","100.9"
,"October 2013","101.5"
,"November 2013","101.6"
,"December 2013","101.6"
,"January 2014","102.6"
,"February 2014","102.7"
,"March 2014","102.6"
,"April 2014","102.5"
,"May 2014","102.6"
,"June 2014","102.7"
,"July 2014","102.6"
,"August 2014","102.6"
,"September 2014","102.5"
,"October 2014","102.5"
,"November 2014","102.5"
,"December 2014","102.4"
,"January 2015","102.4"
,"February 2015","102.3"
,"March 2015","102.1"
,"April 2015","101.7"
,"May 2015","102.1"
,"June 2015","101.8"
,"July 2015","102.1"
,"August 2015","102.0"
,"September 2015","101.6"
,"October 2015","101.3"
,"November 2015","101.0"
,"December 2015","101.1"
,"January 2016","101.0"
,"February 2016","100.8"
,"March 2016","100.6"
,"April 2016","100.3"
,"May 2016","100.2"
,"June 2016","100.1"
,"July 2016","100.0"
,"August 2016","99.8"
,"September 2016","99.8"
,"October 2016","99.8"
,"November 2016","99.7"
,"December 2016","100.0"
,"January 2017","99.9"
,"February 2017","100.0"
,"March 2017","100.0"
,"April 2017","100.0"
,"May 2017","99.8"
,"June 2017","99.6"
,"July 2017","99.6"
,"August 2017","99.7"
,"September 2017","99.5"
,"October 2017","99.5"
,"November 2017","99.1"
,"December 2017","99.1"
,"January 2018","99.1"
,"February 2018","98.6"
,"March 2018","98.6"
,"April 2018","98.9"
,"May 2018","98.7"
,"June 2018","98.5"
,"July 2018","98.6"
,"August 2018","98.4"
,"September 2018","98.2"
,"October 2018","98.1"
,"November 2018","97.9"
,"December 2018","97.7"
,"January 2019","97.6"
,"February 2019","97.6"
,"March 2019","97.6"
,"April 2019","96.9"
,"May 2019","96.8"
,"June 2019","96.8"
,"July 2019","96.7"
,"August 2019","96.5"
,"September 2019","96.7"
,"October 2019","96.8"
,"November 2019","96.0"
,"December 2019","96.2"
,"January 2020","95.5"
,"February 2020","95.3"
,"March 2020","95.1"
,"April 2020","95.0"
,"May 2020","95.1"
,"June 2020","95.0"
,"July 2020","94.8"
,"August 2020","95.0"
,"September 2020","94.8"
,"October 2020","95.3"
,"November 2020","95.2"
,"December 2020","95.5"
,"January 2021","95.9"
,"February 2021","96.2"
,"March 2021","97.5"
,"April 2021","97.9"
,"May 2021","100.4"
,"June 2021","102.2"
,"July 2021","103.0"
,"August 2021","103.0"
,"September 2021","102.4"
,"October 2021","102.8"
,"November 2021","102.9"
,"December 2021","103.3"
,"January 2022","103.8"
,"February 2022","104.1"
,"March 2022","104.9"
,"April 2022","105.7"
,"May 2022","105.8"
,"June 2022","106.2"
,"July 2022","106.1"
,"August 2022","106.7"
,"September 2022","106.9"
,"October 2022","106.9"
,"November 2022","106.5"
,"December 2022","106.2"
,"January 2023","106.2"
,"February 2023","105.5"
,"March 2023","105.5"
,"April 2023","106.0"
,"May 2023","105.8"
,"June 2023","104.9"
,"July 2023","104.9"
,"August 2023","104.6"
,"September 2023","104.6"
,"October 2023","104.4"
,"November 2023","103.9"
,"December 2023","103.7"
,"January 2024","103.7"
,"February 2024","103.7"
,"March 2024","104.0"
,"April 2024","103.7"
,"May 2024","104.4"
,"June 2024","104.9"
,"July 2024","105.3"
,"August 2024","105.4"
,"September 2024","105.7"
,"October 2024","105.7"
,"November 2024","105.9"
,"December 2024","105.9"
,"January 2025","106.4"
,"February 2025","107.6"
,"March 2025","107.2"
,"April 2025","107.8"
,"May 2025","108.9"
,"June 2025","109.0"
,"July 2025","109.0"
,"August 2025","109.7"
,"September 2025","109.6"
,"October 2025","109.6"
,"November 2025","110.1"
,"December 2025","110.1"
"Alberta","January 2010","92.1"
,"February 2010","92.3"
,"March 2010","92.3"
,"April 2010","92.6"
,"May 2010","92.7"
,"June 2010","92.6"
,"July 2010","92.6"
,"August 2010","92.6"
,"September 2010","92.7"
,"October 2010","92.4"
,"November 2010","92.5"
,"December 2010","92.5"
,"January 2011","92.6"
,"February 2011","93.0"
,"March 2011","92.8"
,"April 2011","92.7"
,"May 2011","93.0"
,"June 2011","93.0"
,"July 2011","92.7"
,"August 2011","92.7"
,"September 2011","92.8"
,"October 2011","93.1"
,"November 2011","93.0"
,"December 2011","93.1"
,"January 2012","93.2"
,"February 2012","93.2"
,"March 2012","93.6"
,"April 2012","93.7"
,"May 2012","93.9"
,"June 2012","94.1"
,"July 2012","94.2"
,"August 2012","94.2"
,"September 2012","94.4"
,"October 2012","94.6"
,"November 2012","94.6"
,"December 2012","94.9"
,"January 2013","95.1"
,"February 2013","95.6"
,"March 2013","95.7"
,"April 2013","96.1"
,"May 2013","96.4"
,"June 2013","96.7"
,"July 2013","96.9"
,"August 2013","97.3"
,"September 2013","97.4"
,"October 2013","97.4"
,"November 2013","97.5"
,"December 2013","97.6"
,"January 2014","98.2"
,"February 2014","98.7"
,"March 2014","99.1"
,"April 2014","99.3"
,"May 2014","99.9"
,"June 2014","100.0"
,"July 2014","100.1"
,"August 2014","100.5"
,"September 2014","100.8"
,"October 2014","100.8"
,"November 2014","101.0"
,"December 2014","101.1"
,"January 2015","101.0"
,"February 2015","101.0"
,"March 2015","100.8"
,"April 2015","100.6"
,"May 2015","100.6"
,"June 2015","100.6"
,"July 2015","100.5"
,"August 2015","100.5"
,"September 2015","100.5"
,"October 2015","100.7"
,"November 2015","100.7"
,"December 2015","100.7"
,"January 2016","100.7"
,"February 2016","100.4"
,"March 2016","100.4"
,"April 2016","100.4"
,"May 2016","100.5"
,"June 2016","100.0"
,"July 2016","100.1"
,"August 2016","100.0"
,"September 2016","99.8"
,"October 2016","99.7"
,"November 2016","99.8"
,"December 2016","100.0"
,"January 2017","100.0"
,"February 2017","100.0"
,"March 2017","100.0"
,"April 2017","99.9"
,"May 2017","99.7"
,"June 2017","99.6"
,"July 2017","100.1"
,"August 2017","100.1"
,"September 2017","100.1"
,"October 2017","100.1"
,"November 2017","100.2"
,"December 2017","100.1"
,"January 2018","100.1"
,"February 2018","99.8"
,"March 2018","99.6"
,"April 2018","99.6"
,"May 2018","99.6"
,"June 2018","99.8"
,"July 2018","99.9"
,"August 2018","99.4"
,"September 2018","99.4"
,"October 2018","99.3"
,"November 2018","99.3"
,"December 2018","99.4"
,"January 2019","99.3"
,"February 2019","99.2"
,"March 2019","99.1"
,"April 2019","98.8"
,"May 2019","98.6"
,"June 2019","98.0"
,"July 2019","97.6"
,"August 2019","97.7"
,"September 2019","97.7"
,"October 2019","97.5"
,"November 2019","97.0"
,"December 2019","97.2"
,"January 2020","97.2"
,"February 2020","97.4"
,"March 2020","97.4"
,"April 2020","97.2"
,"May 2020","97.2"
,"June 2020","97.1"
,"July 2020","96.7"
,"August 2020","96.7"
,"September 2020","97.1"
,"October 2020","97.4"
,"November 2020","97.8"
,"December 2020","97.7"
,"January 2021","98.0"
,"February 2021","98.8"
,"March 2021","99.5"
,"April 2021","101.0"
,"May 2021","104.1"
,"June 2021","106.2"
,"July 2021","106.6"
,"August 2021","106.5"
,"September 2021","106.4"
,"October 2021","106.4"
,"November 2021","106.4"
,"December 2021","106.8"
,"January 2022","108.6"
,"February 2022","112.2"
,"March 2022","115.5"
,"April 2022","116.7"
,"May 2022","118.3"
,"June 2022","118.4"
,"July 2022","118.0"
,"August 2022","118.2"
,"September 2022","118.0"
,"October 2022","117.7"
,"November 2022","117.5"
,"December 2022","117.4"
,"January 2023","117.3"
,"February 2023","116.9"
,"March 2023","117.1"
,"April 2023","117.0"
,"May 2023","117.4"
,"June 2023","117.4"
,"July 2023","117.6"
,"August 2023","118.1"
,"September 2023","117.9"
,"October 2023","117.9"
,"November 2023","117.6"
,"December 2023","117.8"
,"January 2024","118.0"
,"February 2024","118.2"
,"March 2024","118.6"
,"April 2024","119.7"
,"May 2024","120.6"
,"June 2024","121.2"
,"July 2024","122.2"
,"August 2024","121.9"
,"September 2024","122.1"
,"October 2024","122.2"
,"November 2024","122.3"
,"December 2024","122.0"
,"January 2025","122.2"
,"February 2025","122.0"
,"March 2025","121.8"
,"April 2025","120.7"
,"May 2025","120.6"
,"June 2025","120.0"
,"July 2025","120.0"
,"August 2025","119.1"
,"September 2025","118.9"
,"October 2025","118.3"
,"November 2025","118.7"
,"December 2025","118.5"
"British Columbia","January 2010","96.5"
,"February 2010","97.0"
,"March 2010","97.5"
,"April 2010","97.8"
,"May 2010","98.0"
,"June 2010","97.9"
,"July 2010","97.2"
,"August 2010","97.2"
,"September 2010","96.8"
,"October 2010","96.8"
,"November 2010","96.6"
,"December 2010","96.5"
,"January 2011","96.6"
,"February 2011","96.6"
,"March 2011","96.8"
,"April 2011","96.9"
,"May 2011","97.1"
,"June 2011","97.1"
,"July 2011","97.1"
,"August 2011","96.7"
,"September 2011","96.8"
,"October 2011","96.6"
,"November 2011","96.3"
,"December 2011","96.1"
,"January 2012","96.3"
,"February 2012","96.2"
,"March 2012","96.0"
,"April 2012","96.0"
,"May 2012","96.0"
,"June 2012","96.1"
,"July 2012","96.1"
,"August 2012","96.0"
,"September 2012","95.9"
,"October 2012","96.1"
,"November 2012","95.7"
,"December 2012","95.4"
,"January 2013","95.3"
,"February 2013","95.4"
,"March 2013","95.2"
,"April 2013","95.3"
,"May 2013","95.1"
,"June 2013","94.9"
,"July 2013","95.1"
,"August 2013","94.8"
,"September 2013","94.8"
,"October 2013","94.6"
,"November 2013","94.5"
,"December 2013","94.3"
,"January 2014","94.3"
,"February 2014","94.3"
,"March 2014","94.2"
,"April 2014","93.9"
,"May 2014","93.7"
,"June 2014","93.6"
,"July 2014","93.5"
,"August 2014","93.7"
,"September 2014","93.7"
,"October 2014","94.0"
,"November 2014","93.8"
,"December 2014","93.8"
,"January 2015","93.6"
,"February 2015","93.6"
,"March 2015","93.6"
,"April 2015","94.2"
,"May 2015","94.2"
,"June 2015","94.4"
,"July 2015","94.7"
,"August 2015","94.7"
,"September 2015","95.1"
,"October 2015","95.3"
,"November 2015","95.8"
,"December 2015","95.9"
,"January 2016","96.3"
,"February 2016","97.1"
,"March 2016","97.4"
,"April 2016","97.7"
,"May 2016","98.8"
,"June 2016","99.2"
,"July 2016","99.7"
,"August 2016","99.7"
,"September 2016","100.0"
,"October 2016","100.3"
,"November 2016","100.0"
,"December 2016","100.0"
,"January 2017","99.9"
,"February 2017","100.0"
,"March 2017","100.5"
,"April 2017","101.5"
,"May 2017","103.4"
,"June 2017","104.7"
,"July 2017","106.5"
,"August 2017","106.6"
,"September 2017","107.3"
,"October 2017","107.6"
,"November 2017","107.6"
,"December 2017","107.8"
,"January 2018","107.8"
,"February 2018","107.8"
,"March 2018","107.9"
,"April 2018","107.9"
,"May 2018","107.9"
,"June 2018","108.0"
,"July 2018","107.9"
,"August 2018","107.8"
,"September 2018","108.0"
,"October 2018","108.0"
,"November 2018","107.8"
,"December 2018","107.7"
,"January 2019","107.6"
,"February 2019","107.4"
,"March 2019","107.4"
,"April 2019","107.2"
,"May 2019","106.9"
,"June 2019","106.8"
,"July 2019","106.4"
,"August 2019","106.4"
,"September 2019","106.0"
,"October 2019","105.8"
,"November 2019","105.3"
,"December 2019","105.7"
,"January 2020","105.5"
,"February 2020","105.9"
,"March 2020","106.3"
,"April 2020","106.3"
,"May 2020","106.3"
,"June 2020","106.4"
,"July 2020","107.2"
,"August 2020","108.1"
,"September 2020","110.2"
,"October 2020","111.5"
,"November 2020","111.8"
,"December 2020","111.9"
,"January 2021","112.3"
,"February 2021","116.3"
,"March 2021","117.2"
,"April 2021","118.9"
,"May 2021","120.0"
,"June 2021","119.7"
,"July 2021","120.3"
,"August 2021","120.8"
,"September 2021","121.9"
,"October 2021","123.3"
,"November 2021","124.0"
,"December 2021","124.1"
,"January 2022","126.2"
,"February 2022","127.0"
,"March 2022","127.7"
,"April 2022","127.9"
,"May 2022","128.0"
,"June 2022","128.1"
,"July 2022","128.7"
,"August 2022","128.7"
,"September 2022","128.7"
,"October 2022","127.8"
,"November 2022","127.7"
,"December 2022","127.6"
,"January 2023","127.1"
,"February 2023","126.8"
,"March 2023","126.8"
,"April 2023","126.8"
,"May 2023","127.0"
,"June 2023","127.5"
,"July 2023","127.3"
,"August 2023","127.9"
,"September 2023","127.4"
,"October 2023","127.4"
,"November 2023","127.3"
,"December 2023","127.3"
,"January 2024","127.1"
,"February 2024","127.2"
,"March 2024","127.2"
,"April 2024","127.8"
,"May 2024","127.9"
,"June 2024","127.0"
,"July 2024","127.4"
,"August 2024","127.5"
,"September 2024","127.3"
,"October 2024","126.6"
,"November 2024","126.6"
,"December 2024","126.6"
,"January 2025","126.7"
,"February 2025","126.8"
,"March 2025","126.9"
,"April 2025","126.8"
,"May 2025","126.3"
,"June 2025","126.1"
,"July 2025","126.0"
,"August 2025","125.2"
,"September 2025","125.4"
,"October 2025","125.1"
,"November 2025","124.9"
,"December 2025","124.6"

Symbol legend:
E, use with caution


"Table Corrections:"
Date,Note
"","On September 25, 2025, the August 2025 data for Calgary, Alberta, Prairies and Canada for the land-only and house-only components were corrected. The other estimates available were unchanged."



Footnotes:
1,"This table replaces table 18-10-0052 which was archived with the release of January 2017 data. Data for periods prior to December 2016 were obtained by linking the current New Housing Price Index (NHPI) series, where possible, to indexes in table 18-10-0052."
2,"Beginning in December 2016, several changes have been made to the New Housing Price Index (NHPI). The census metropolitan areas (CMAs) of Kelowna, Guelph, Trois-Rivières and Sherbrooke are included in the NHPI basket. Separate indexes are published for the census metropolitan areas (CMAs) of Toronto, Oshawa, Ottawa-Gatineau (Ontario part), Ottawa-Gatineau (Quebec part) and Greater Sudbury. The New Housing Price Index no longer includes Thunder Bay."
3,"The index base period, for which the New Housing Price Index (NHPI) equals 100, is December 2016."
4,"New Housing price indexes denoted with the data quality indicator “E”, should be used with caution."
5,"This table partially replaces 18100169 which has been archived."
6,"Beginning in December 2016, the census metropolitan areas (CMAs) of Ottawa-Gatineau (Quebec part), Trois-Rivières and Sherbrooke are included in the provincial aggregate for Quebec."
7,"Beginning in December 2016, the census metropolitan area (CMA) of Guelph is included in the provincial aggregate for Ontario."
8,"Beginning in December 2016, the census metropolitan area (CMA) of Kelowna is included in the provincial aggregate for British Columbia."



"How to cite: Statistics Canada. Table 18-10-0205-01  New housing price index, monthly"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810020501
